Agency,State,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Phoenix Police Dept,AZ,89,122,111,106,126,128,128,136,158,231,214,186,175,185,214,152,209,177,241,202,220,235,212,167,122,116,116,123,118,114,122 
Tucson Police Dept,AZ,32,41,23,31,,30,24,42,44,37,65,46,50,45,36,60,42,47,47,55,55,51,49,65,35,51,51,43,47,35,31 
Fresno Police Dept,CA,46,53,33,39,42,66,52,81,87,84,71,69,60,36,26,24,40,42,37,53,49,52,52,40,42,45,35,51,40,47,39 
Los Angeles Police Dept,CA,777,834,811,736,877,983,  1027,  1094,  1076,845,849,711,576,426,425,550,588,654,515,518,489,480,395,384,312,293,297,299,251,260,282 
San Diego Police Dept,CA,96,102,96,144,121,135,167,146,133,113,91,79,67,42,57,54,50,47,65,62,51,68,59,55,41,29,38,47,39,32,37 
San Francisco Police Dept,CA,85,114,103,92,73,101,95,117,129,91,99,82,59,58,64,59,,68,69,88,96,86,100,98,45,48,50,69,48,45,53 
San Jose Police Dept,CA,55,39,24,37,38,35,53,43,41,33,38,40,43,29,25,19,22,26,29,24,26,29,33,31,28,20,39,45,38,32,30 
Denver Police Dept,CO,72,91,79,69,55,67,88,95,74,81,81,64,69,51,63,32,45,51,63,87,59,51,47,40,35,28,34,39,41,31,53 
Washington Metropolitan Police Dept,DC,147,194,225,369,434,472,482,443,454,399,361,397,301,260,241,239,232,262,248,198,195,169,181,186,144,132,108,88,103,105,162 
Jacksonville,FL,90,119,147,,165,176,119,123,125,106,86,85,75,74,83,79,75,90,92,104,91,110,123,115,99,80,71,93,93,96,97 
Honolulu Police Dept,HI,36,46,36,28,,34,29,31,31,35,38,27,34,17,37,20,20,18,15,26,15,17,19,18,14,19,,,,,15 
Chicago Police Dept,IL,666,744,687,660,742,850,925,939,845,928,824,789,757,703,641,631,666,648,598,448,448,468,443,510,458,432,431,500,416,415,478 
Indianapolis Police Dept,IN,59,63,57,79,41,58,95,88,68,108,82,114,118,143,113,96,112,112,105,109,108,140,114,114,99,92,96,97,129,136,148 
Louisville Metro,KY,,,,,,,,,,,,,,,,,,,,66,55,50,71,71,62,52,48,62,48,56,81 
Baltimore City Police Dept,MD,213,240,226,234,262,305,304,335,353,321,322,330,312,313,,261,256,253,270,276,269,276,282,234,238,223,197,218,233,211,344 
Boston Police Dept,MA,87,105,76,93,99,143,113,73,98,85,96,59,43,34,31,39,65,60,39,61,73,75,65,62,50,73,63,57,39,53,38 
Detroit Police Dept,MI,635,648,686,629,624,582,615,595,579,541,475,428,469,430,415,396,395,402,366,385,356,421,392,323,363,310,344,386,316,298,295 
Las Vegas Metropolitan Police Department,NV,,,,,,,,,,,,,,,,90,133,137,141,131,145,152,119,120,111,107,82,76,97,122,127 
Albuquerque Police Dept,NM,42,49,48,49,41,34,51,42,50,45,53,70,49,37,48,33,34,51,51,41,53,34,47,38,56,42,35,41,37,30,43 
New York City Police Dept,NY,  1384,  1582,  1672,  1896,  1905,  2245,  2154,  1995,  1946,  1561,  1177,983,770,633,664,673,714,587,597,570,539,596,496,523,471,536,515,419,335,333,352 
Charlotte-Mecklenburg Police Department,NC,,,,,,,,,,,,,,,,,,,,,,,,,58,61,56,52,59,47,61 
Columbus Police Dept,OH,72,78,85,69,90,89,138,113,105,100,77,89,84,78,71,67,81,81,109,78,103,85,79,100,82,95,87,,78,85,77 
Oklahoma City Police Dept,OK,61,60,48,60,61,68,56,61,80,65,227,67,59,56,56,38,45,38,49,39,54,55,58,57,65,54,58,85,62,45,73 
Portland Police Dept,OR,43,46,66,45,38,33,53,46,58,50,43,51,46,26,35,19,21,20,27,29,20,20,22,26,19,22,20,20,14,26,34 
Philadelphia Police Dept,PA,273,343,338,374,475,503,440,425,439,404,432,420,418,338,292,319,309,288,348,330,377,407,392,331,302,306,324,331,247,248,280 
Memphis Police Dept,TN,122,161,143,174,141,195,169,176,198,159,181,161,138,115,118,147,158,149,126,107,138,149,131,138,132,89,117,133,125,139,135 
Nashville-Davidson Metro Police Dept,TN,81,93,99,79,69,67,88,90,87,73,105,89,112,97,68,72,60,63,72,59,95,80,73,76,79,55,50,62,35,42,72 
Austin Police Dept,TX,52,48,39,43,31,46,49,37,37,37,46,40,40,32,21,32,26,25,27,26,26,20,30,23,22,38,28,31,26,32,23 
City Of Fort Worth Police Dept,TX,128,200,135,97,113,130,195,153,133,132,108,68,74,64,67,61,67,53,57,52,60,50,58,49,44,63,48,45,49,53,56 
Dallas Police Dept,TX,301,347,323,366,351,447,500,387,317,295,276,217,209,252,191,231,240,196,226,248,202,187,200,170,166,148,133,154,143,116,136 
El Paso Police Dept,TX,22,46,25,31,41,34,49,44,47,44,37,30,24,17,14,20,20,14,21,11,14,13,17,17,12, 5,16,23,10,21,17 
Houston Police Dept,TX,457,408,323,440,459,568,608,465,446,375,316,261,254,254,241,230,267,256,278,272,334,377,351,294,287,269,198,217,214,242,303 
San Antonio Police Dept,TX,180,162,174,143,168,208,208,219,220,194,142,117,95,89,96,85,100,100,85,94,86,119,122,116,99,79,89,89,72,103,94 
Seattle Police Dept,WA,61,50,54,56,38,53,43,60,67,69,41,37,49,49,45,36,25,26,32,24,25,30,24,29,22,19,20,23,18,26,23 
Milwaukee Police Dept,WI,68,83,92,81,112,155,163,146,157,139,138,130,122,111,124,122,127,111,110,87,121,103,105,71,72,95,85,91,104,86,145 
